Identifier,Company Name,Country of Headquarters,TRBC Industry Name,"YoY % Chg in
Net Loans
(USD)
In the last 14 FY",,,,,,,,,,,,,,"Net Loans
(USD)
In the last 14 FY",,,,,,,,,,,,,,"Total Deposits
(USD)
In the last 14 FY",,,,,,,,,,,,,,"YoY % Chg in
Total Deposits
(USD)
In the last 14 FY",,,,,,,,,,,,,,"Capital Adequacy - Tier 1 Capital (Value)
(USD)
In the last 14 FY",,,,,,,,,,,,,,"Non-Performing Loans
(USD)
In the last 14 FY",,,,,,,,,,,,,,"Efficiency Ratio (%)
In the last 14 FY",,,,,,,,,,,,,,"Pretax ROA (%)
In the last 14 FY",,,,,,,,,,,,,
,,,,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY-8,FY-9,FY-10,FY-11,FY-12,FY-13,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY-8,FY-9,FY-10,FY-11,FY-12,FY-13,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY-8,FY-9,FY-10,FY-11,FY-12,FY-13,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY-8,FY-9,FY-10,FY-11,FY-12,FY-13,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY-8,FY-9,FY-10,FY-11,FY-12,FY-13,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY-8,FY-9,FY-10,FY-11,FY-12,FY-13,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY-8,FY-9,FY-10,FY-11,FY-12,FY-13,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY-8,FY-9,FY-10,FY-11,FY-12,FY-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDMN.JK,Bank Danamon Indonesia Tbk PT,Indonesia,Banks,21.2%,4.2%,-6.6%,-8.4%,8.8%,1.9%,1.6%,-3.5%,-17.0%,0.4%,-7.8%,25.0%,15.9%,31.3%,"10,650,120,103.93","8,786,072,984.26","8,435,422,666.67","9,030,557,264.96","9,854,497,334.29","9,054,177,878.26","8,882,790,563.95","8,746,643,875.28","9,059,933,986.22","10,913,547,819.06","10,867,018,585.53","11,788,665,420.56","9,432,980,022.08","8,136,404,775.12","9,187,625,982.46","8,182,169,097.33","8,656,414,315.79","8,989,382,407.41","8,233,035,446.69","7,711,180,382.61","7,853,397,051.23","7,914,807,201.19","8,485,133,043.16","9,605,895,718.90","9,116,476,973.68","9,628,482,554.52","9,800,465,562.91","9,059,442,754.03",12.3%,-5.5%,-3.7%,9.2%,6.8%,-1.8%,-0.8%,-6.7%,-11.7%,5.4%,-5.3%,-1.8%,8.2%,24.3%,,,,,,,,,"2,168,442,509.97","2,313,108,562.20",,,,,"421,619,746.67","420,049,919.69","359,613,263.16","295,787,749.29","255,785,806.92","212,482,434.78","209,449,760.41",,"245,210,591.22","216,742,003.23","208,470,394.74","276,116,303.22","25,455,849.89","271,738,700.72",57.7%,58.1%,54.9%,52.6%,51.5%,54.8%,52.8%,55.3%,57.3%,61.7%,55.9%,57.3%,58.2%,57.2%,2.2%,2.3%,1.2%,1.0%,2.9%,2.7%,2.8%,2.4%,1.7%,1.9%,3.3%,3.7%,3.5%,3.7%
BNII.JK,Bank Maybank Indonesia Tbk PT,Indonesia,Banks,8.9%,-2.9%,-4.9%,-15.9%,-5.2%,0.3%,7.6%,5.3%,-5.4%,2.0%,6.9%,14.4%,25.9%,39.9%,"7,306,262,098.08","6,710,993,832.32","6,912,483,087.72","7,267,916,880.34","8,646,885,302.59","9,118,031,582.61","9,089,428,824.18","8,443,635,115.07","8,015,227,203.48","8,473,642,730.21","8,304,057,976.97","7,764,868,016.61","6,786,374,061.81","5,390,105,941.14","7,813,277,297.82","6,994,667,202.06","8,425,343,017.54","8,777,718,874.64","8,194,168,948.13","8,419,499,826.09","9,226,165,352.01","9,036,567,112.10","8,587,950,525.93","8,466,339,499.19","8,905,844,243.42","9,103,919,210.80","7,917,059,381.90","6,750,666,629.65",11.7%,-17.0%,-4.0%,7.1%,-2.7%,-8.7%,2.1%,5.2%,1.4%,-4.9%,-2.2%,15.0%,17.3%,31.1%,"1,856,557,713.54","1,779,009,187.28","1,916,191,298.25","1,813,574,857.55","1,762,902,233.43","1,604,589,704.35","1,392,068,853.67","1,279,945,953.97","989,379,833.15","1,070,392,003.23","864,427,138.16",,,,"201,413,965.57","292,742,177.96","371,937,754.39","273,919,658.12","276,406,772.33","214,740,382.61","239,686,251.38","281,668,151.45","276,546,898.80","172,485,460.42","459,270,148.03","132,417,133.96","142,942,715.23","174,935,702.39",63.1%,62.8%,59.8%,59.4%,59.8%,58.2%,55.4%,,56.7%,64.6%,70.7%,77.2%,,,1.4%,1.2%,1.3%,1.1%,1.5%,1.7%,1.5%,,1.1%,0.7%,1.7%,1.6%,,
BBNI.JK,Bank Negara Indonesia (Persero) Tbk PT,Indonesia,Banks,9.9%,2.5%,-3.3%,-0.8%,12.3%,10.1%,12.5%,22.7%,4.2%,9.1%,-0.4%,16.5%,20.2%,18.8%,"42,086,822,864.57","38,281,678,445.23","37,343,252,210.53","38,602,478,703.70","38,894,962,247.84","34,635,609,600.00","31,462,586,140.80","27,958,019,821.83","22,783,208,632.57","21,862,034,410.34","20,045,872,286.18","20,128,210,799.58","17,274,228,256.07","14,369,746,474.18","53,434,513,218.58","50,402,412,142.63","52,178,640,000.00","49,061,562,535.61","45,117,919,236.31","41,252,686,817.39","38,947,741,761.89","33,093,468,522.64","27,212,065,796.16","25,611,504,523.42","24,266,050,822.37","27,093,051,298.03","26,304,003,200.88","21,971,175,569.13",6.0%,-3.4%,6.4%,8.7%,9.4%,5.9%,17.7%,21.6%,6.2%,5.5%,-10.4%,3.0%,19.7%,7.6%,,,"8,622,453,684.21",,,,,,,,,,,,"963,660,344.27","1,166,816,447.16","1,510,723,157.89","1,754,262,393.16","933,848,414.99","698,316,660.87","744,384,445.26","864,459,910.91","631,817,918.03","439,155,088.85","445,809,457.24","585,338,940.81","653,082,008.83","1,006,082,620.77",48.7%,48.3%,48.9%,50.4%,50.1%,48.9%,51.8%,51.5%,46.9%,48.4%,51.0%,52.7%,53.0%,51.4%,2.4%,2.3%,1.4%,0.6%,2.3%,2.6%,2.6%,2.6%,2.5%,3.4%,3.1%,2.8%,2.7%,2.3%
BNLI.JK,Bank Permata Tbk PT,Indonesia,Banks,-0.7%,4.0%,4.2%,9.7%,4.0%,-5.7%,-22.9%,-14.0%,9.0%,0.0%,29.3%,31.7%,35.4%,36.4%,"8,148,135,432.06","8,209,535,298.25","7,892,514,814.81","7,570,766,858.79","6,901,537,460.87","6,636,268,706.23","7,036,574,907.20","9,130,792,383.03","10,612,961,470.11","9,734,279,851.97","9,730,622,326.06","7,528,083,222.96","5,716,496,946.14","4,222,630,997.88","12,805,844,265.98","12,858,458,456.14","10,541,408,333.33","9,089,211,599.42","8,389,277,217.39","8,402,915,591.60","9,871,142,910.17","10,720,529,198.40","12,131,543,618.74","11,079,203,371.71","11,102,717,237.80","9,283,841,942.60","6,665,675,069.41","4,891,191,295.12",-0.4%,22.0%,16.0%,8.3%,-0.2%,-14.9%,-7.9%,-11.6%,9.5%,-0.2%,19.6%,39.3%,36.3%,23.3%,"2,936,569,097.33","3,081,607,368.42","2,977,989,672.36","1,415,033,357.35","1,391,957,704.35","1,211,867,969.04","1,033,392,501.86","1,132,124,555.68",,"968,246,217.11",,,,,"382,131,962.74","492,753,964.91","341,216,951.57","215,117,074.93","324,633,808.70","332,255,584.22","713,556,273.20","258,744,359.81",,"100,688,404.61","134,143,613.71","154,879,470.20","152,977,345.92","174,569,002.12",55.3%,51.6%,59.5%,62.0%,59.9%,52.4%,53.6%,52.8%,56.9%,58.6%,59.7%,59.4%,58.1%,65.1%,1.1%,0.7%,0.9%,1.3%,0.8%,0.6%,-5.0%,0.2%,1.2%,1.5%,1.6%,1.8%,1.9%,1.4%
BNGA.JK,Bank CIMB Niaga Tbk PT,Indonesia,Banks,10.4%,-0.9%,1.1%,-14.6%,6.3%,-2.5%,4.4%,3.7%,-10.2%,10.2%,-15.6%,7.9%,18.4%,31.1%,"12,602,198,311.14","11,410,558,303.89","11,515,035,578.95","11,385,454,700.85","13,328,396,253.60","12,543,475,269.57","12,858,971,765.57","12,321,857,164.07","11,885,412,767.50","13,237,027,221.32","12,016,451,151.32","14,237,221,079.96","13,198,365,231.79","11,143,832,759.58","15,435,018,967.20","14,757,119,755.86","17,151,435,859.65","14,987,961,538.46","14,190,553,746.40","13,473,315,547.83","14,463,806,192.41","13,743,771,863.40","13,361,442,655.06","14,280,273,828.76","13,531,553,618.42","16,016,093,250.26","14,742,650,551.88","13,218,568,795.11",4.6%,-14.0%,14.4%,5.6%,5.3%,-6.8%,5.2%,2.9%,-6.4%,5.5%,-15.5%,8.6%,11.5%,41.5%,"2,812,740,695.03","2,534,975,072.28","2,729,883,859.65","2,627,439,957.26","2,896,517,002.88","2,559,476,034.78","2,584,941,909.33","2,379,092,501.86","1,981,852,013.06","2,114,531,744.75","1,882,105,427.63",,,,"636,786,164.34","848,208,801.80","808,828,561.40","714,026,566.95","531,032,708.93","526,697,739.13","691,769,259.12","691,559,762.44","642,225,535.00","677,006,058.16","263,055,180.92","336,851,505.71","361,208,498.90","289,481,843.42",45.2%,48.2%,46.7%,48.4%,51.0%,50.7%,48.8%,51.4%,58.3%,50.9%,48.2%,46.6%,50.0%,48.6%,2.6%,2.1%,1.8%,1.1%,1.8%,1.8%,1.6%,1.2%,0.2%,1.4%,2.8%,3.2%,2.8%,2.7%
INPC.JK,Bank Artha Graha Internasional Tbk PT,Indonesia,Banks,-17.9%,-11.1%,-12.0%,-7.5%,-21.3%,1.1%,6.1%,-9.7%,8.9%,-20.4%,8.8%,18.3%,6.4%,28.3%,"623,526,052.04","759,080,982.46","853,460,256.41","969,703,674.35","1,048,787,408.70","1,331,933,210.47","1,317,310,541.95","1,241,394,849.47","1,374,641,518.58","1,262,538,980.26","1,586,670,820.35","1,458,002,538.63","1,232,168,275.73","1,157,893,800.82","1,307,016,961.13","1,475,373,543.86","1,824,924,643.87","1,459,596,613.83","1,443,625,391.30","1,655,581,570.22","1,556,486,265.78","1,559,801,813.57","1,593,679,402.26","1,439,886,019.74","1,812,193,457.94","1,812,019,867.55","1,638,412,437.79","1,393,750,730.83",-11.4%,-19.2%,25.0%,1.1%,-12.8%,6.4%,-0.2%,-2.1%,10.7%,-20.5%,0.0%,10.6%,17.6%,42.3%,"215,434,950.21","237,826,736.84","194,480,769.23","247,239,121.04","269,552,834.78","275,916,918.54","294,305,939.12","170,019,368.88","185,344,184.17",,,,,,"17,930,742.05","27,349,473.68","40,555,128.21","56,520,100.86","65,271,443.48","83,113,158.86","37,029,472.90","29,348,494.74","26,566,155.09",,"13,459,605.40","43,757,174.39","32,072,984.39","40,428,245.40",95.8%,118.9%,129.8%,85.3%,79.7%,83.0%,86.7%,83.0%,77.6%,67.7%,71.4%,71.5%,78.0%,80.6%,0.3%,-0.7%,0.1%,-0.3%,0.3%,0.3%,0.4%,0.3%,0.8%,1.4%,0.7%,0.7%,0.7%,0.5%
